RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.03689631,74,0,0.016098966,5900,2,0,0,0,0
0.30039199,54,0,0.397297916,4366,7,0,1,0,2
0.002067869,49,0,0.000545355,5500,5,0,0,0,0
0,23,0,0,898,2,0,0,0,0
0.042365989,69,0,0.069478303,4101,8,0,0,0,0
0.9999999,46,0,0,5400,0,1,0,0,0
0.123251166,26,0,5,5400,3,0,0,0,0
0.846096159,37,0,0.668848168,4583,13,0,2,0,0
0.618940454,50,1,0.386529529,6027,11,0,0,0,1
0.003106076,71,0,0.214180207,3384,9,0,0,0,0
0.01651086,60,0,0.674325674,1000,7,0,1,0,0
0.03839872,66,0,0.00679864,5000,4,0,0,0,0
0.023671611,57,0,0.17637484,8600,11,0,2,0,2
0.471281532,56,1,0.131356925,8533,8,0,1,0,0
0.123441556,40,0,0.346528973,12200,4,0,1,0,1
0.044698654,54,0,0.163524169,5833,9,0,1,0,0
0.062468537,43,0,0.47082525,6700,8,0,3,0,1
0.017192119,68,0,0.001904581,10500,15,0,0,0,0
0.881853024,81,0,0.239443378,4167,7,0,2,0,1
0.078076881,63,0,0.343697946,1800,7,0,2,0,0
0.9999999,64,0,0.499911894,5674,2,2,1,1,0
0.703697826,57,1,0.095380924,3333,3,0,0,0,0
0.003850342,56,0,0.186583694,9480,17,0,2,0,0
0.222448025,72,0,0.376746389,8445,12,0,2,0,1
0.884534482,47,0,0.97630694,6541,9,0,2,0,1
0.9999999,38,1,0.004934948,2228,1,0,0,0,2
0.889912407,76,1,0.437845098,6700,8,0,1,0,0
0.024401858,78,0,0.016940708,4013,6,0,0,0,0
0.97720926,32,0,0.394691486,2900,6,0,0,0,2
0.353400044,61,1,0.461307738,5000,10,0,0,0,2
1.080051108,48,0,0.464175523,5833,4,0,1,0,0
0.474800342,41,0,0.56125671,6333,8,0,1,0,0
0.064727428,58,0,0.155526498,13000,6,0,2,0,3
0.66736391,28,0,0.32537976,14416,10,0,2,0,0
0.014452116,58,0,0.220049729,8847,11,0,1,0,3
0.140434042,41,0,0.064967796,3570,3,0,0,0,1
1.050067852,35,0,0.149128686,2983,6,0,0,0,3
0.297173873,28,0,0.398888344,6116,10,0,2,0,0
0.549341773,40,0,0.133621254,7640,6,0,0,0,2
1.043647891,31,0,0.382245989,4674,5,0,1,1,0
0.194273425,53,0,817,5400,13,0,0,0,3
0.083832391,61,0,0.085844879,7000,16,0,1,0,0
0.141997264,53,0,0.172322093,9400,11,1,2,0,1
0.299128625,50,1,0.376583237,16500,10,0,1,0,0
0.071784271,57,0,0.418947743,11251,9,0,2,0,2
0,27,0,0.007584899,5800,4,0,0,0,0
